Source,TVType,ProgramType,SpotCost,Month,Program,DayPart,SpotName,Length,Calls,Leads,Oldest,Old,Base
GRIT,DN,Military,1194.505,"February, 2017",A MAN CALLED GANNON,2,HEAR A BTR DAY 120,120,10,10,71,213,251929
GRIT,DN,Military,1102.62,"August, 2017",A MAN CALLED GANNON,7,HABD REV 120 TEST,120,13,7,87,173,
ESCP,DN,Movie,321.5975,"July, 2017",A STRANGE AFFAIR,2,HEAR A BETTER DAY 60,60,0,0,28,80,102389
COZ,DN,Crime Drama,689.1375,"April, 2017",ADAM-12,2,HEAR A BTR DAY 120,120,0,0,27,50,55337
COZ,DN,Crime Drama,367.54,"July, 2017",ADAM-12,2,HEAR A BETTER DAY 60,60,0,0,44,66,80135
COZ,DN,Crime Drama,367.54,"July, 2017",ADAM-12,2,HEAR A BETTER DAY 60,60,0,0,49,77,88312
COZ,DN,Crime Drama,367.54,"July, 2017",ADAM-12,2,HEAR A BETTER DAY 60,60,0,0,39,60,73200
COZ,DN,Crime Drama,367.54,"July, 2017",ADAM-12,2,HEAR A BETTER DAY 60,60,3,2,43,70,77438
COZ,DN,Crime Drama,367.54,"July, 2017",ADAM-12,2,HABD 60 TEST,60,2,1,27,57,67829
GRIT,DN,Western,1194.505,"January, 2017",ADIOS AMIGO,2,HEAR A BTR DAY 120,120,13,9,36,104,125440
GRIT,DN,Western,1378.275,"March, 2017",ADIOS AMIGO,2,HEAR A BTR DAY 120,120,6,6,47,112,143924
GRIT,DN,Western,1194.505,"April, 2017",ADIOS AMIGO,7,HEAR A BTR DAY 120,120,7,4,59,103,130577
GRIT,DN,Western,551.31,"July, 2017",ADIOS AMIGO,2,HEAR A BETTER DAY 60,60,1,0,46,75,93498
COZ,DN,Crime Drama,689.1375,"May, 2017",ALIAS SMITH AND JONE,7,HEAR A BTR DAY 120,120,5,3,59,116,125790
COZ,DN,Crime Drama,689.1375,"June, 2017",ALIAS SMITH AND JONE,7,HEAR A BTR DAY 120,120,3,3,34,70,82760
COZ,DN,Crime Drama,643.195,"July, 2017",ALIAS SMITH AND JONE,7,HABD REV 120 TEST,120,3,1,42,92,98218
VEL,CBL,Lifestyle,689.1375,"March, 2017",ALL GIRLS GARAGE,2,HEAR A BTR DAY 120,120,3,2,13,27,34767
VEL,CBL,Lifestyle,689.1375,"June, 2017",ALL GIRLS GARAGE,2,HEAR A BTR DAY 120,120,7,4,9,31,57848
VEL,CBL,Lifestyle,689.1375,"June, 2017",ALL GIRLS GARAGE,2,HEAR A BTR DAY 120,120,1,1,15,48,64867
SUND,CBL,Comedy,551.31,"April, 2017",ALL IN THE FAMILY,2,HEAR A BTR DAY 120,120,5,3,48,82,96397
