"","TVType","ProgramType","Month","DayPart","SpotName","Oldest","Old","Base","RR","CPM","comp"
"1","DN","Military","February, 2017","Day","HEAR A BTR DAY 120",71,213,251929,0.000140845070422535,16.824014084507,0.000281825434943972
"2","DN","Military","August, 2017","WE","HABD REV 120 TEST",77,148,174944,0.0000909090909090909,14.3197402597403,0.000440140845070423
"8","DN","Crime Drama","July, 2017","Day","HEAR A BETTER DAY 60",43,70,77438,0.0000465116279069767,8.54744186046512,0.00055528293602624
"9","DN","Crime Drama","July, 2017","Day","HABD 60 TEST",27,57,67829,0.000037037037037037,13.6125925925926,0.00039805982691769
"10","DN","Western","January, 2017","Day","HEAR A BTR DAY 120",36,104,125440,0.00025,33.1806944444444,0.000286989795918367
"11","DN","Western","March, 2017","Day","HEAR A BTR DAY 120",47,112,143924,0.000127659574468085,29.325,0.00032656124065479
"12","DN","Western","April, 2017","WE","HEAR A BTR DAY 120",59,103,130577,0.0000677966101694915,20.2458474576271,0.000451840676382518
"14","DN","Crime Drama","May, 2017","WE","HEAR A BTR DAY 120",59,116,125790,0.0000508474576271186,11.6802966101695,0.00046903569441132
"15","DN","Crime Drama","June, 2017","WE","HEAR A BTR DAY 120",34,70,82760,0.0000882352941176471,20.26875,0.00041082648622523
"16","DN","Crime Drama","July, 2017","WE","HABD REV 120 TEST",42,92,98218,0.0000238095238095238,15.3141666666667,0.0004276201918182
"17","CBL","Lifestyle","March, 2017","Day","HEAR A BTR DAY 120",13,27,34767,0.000153846153846154,53.0105769230769,0.00037391779561078
"18","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",9,31,57848,0.000444444444444444,76.5708333333333,0.000155580141059328
"19","CBL","Lifestyle","June, 2017","Day","HEAR A BTR DAY 120",15,48,64867,0.0000666666666666667,45.9425,0.000231242388271386
"20","CBL","Comedy","April, 2017","Day","HEAR A BTR DAY 120",48,82,96397,0.0000625,11.485625,0.000497940807286534
"21","DN","Western","February, 2017","Day","HEAR A BTR DAY 120",115,192,219767,0.0000695652173913043,10.387,0.000523281475380744
"22","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",35,112,143936,0.0000285714285714286,18.377,0.000243163628279235
"23","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",39,83,117032,0.000128205128205128,16.4921794871795,0.00033324219017021
"24","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",24,49,62102,0.000125,26.7997916666667,0.000386460983543203
"25","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",43,90,114064,0.0000465116279069767,14.958023255814,0.000376981343806986
"26","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",30,79,118717,0.0000666666666666667,21.4398333333333,0.000252701803448537
"27","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",19,56,66825,0.000210526315789474,33.8523684210526,0.000284324728769173
"28","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",18,46,84002,0.000111111111111111,35.7330555555556,0.000214280612366372
"29","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",16,44,74382,0.0001875,40.1996875,0.000215105805167917
"30","DN","Crime Drama","April, 2017","Day","HEAR A BTR DAY 120",8,48,61872,0.00025,80.399375,0.00012929919834497
"31","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",19,57,66446,0.000263157894736842,33.8523684210526,0.000285946482858261
"32","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",23,82,126952,0.0000434782608695652,27.965,0.000181170836221564
"33","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",20,45,63244,0.00005,32.15975,0.000316235532224401
"34","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",28,64,89563,0.000107142857142857,22.97125,0.000312629099069928
"35","DN","Crime Drama","May, 2017","Day","HEAR A BTR DAY 120",13,55,79348,0.000153846153846154,49.4765384615385,0.000163835257347381
"38","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",33,78,109582,0.000151515151515152,19.4907575757576,0.000301144348524393
"39","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",19,58,96887,0.000157894736842105,29.0163157894737,0.000196104740574071
"41","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",19,41,58094,0.0000526315789473684,29.0163157894737,0.000327056150376975
"42","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",12,34,54643,0.0005,45.9425,0.000219607269000604
"43","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",34,78,107460,0.0000294117647058824,16.215,0.000316396798808859
"44","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",17,67,80087,0.0000588235294117647,32.43,0.000212269157291446
"45","DN","Crime Drama","July, 2017","Day","HABD REV 120 TEST",21,65,94571,0.000142857142857143,26.2528571428571,0.000222055386957947
"46","DN","Crime Drama","July, 2017","Day","HABD REV 120 TEST",25,61,100391,0.00004,22.0524,0.000249026307139086
"47","DN","Crime Drama","July, 2017","Day","HABD REV 120 TEST",30,102,136547,0.000366666666666667,18.377,0.000219704570587417
"48","DN","Crime Drama","July, 2017","Day","HABD 60 TEST",33,73,103924,0.0000606060606060606,9.74537878787879,0.000317539740579654
"49","DN","Crime Drama","July, 2017","Day","HABD 60 TEST",9,57,112601,0.000333333333333333,35.7330555555556,0.0000799282422003357
"53","DN","Crime Drama","July, 2017","Day","HEAR A BETTER DAY 60",14,71,100532,0.000142857142857143,22.97125,0.000139259141367923
"58","DN","Crime Drama","July, 2017","Day","HEAR A BETTER DAY 60",24,61,101576,0.000166666666666667,13.3998958333333,0.000236276285736788
"59","DN","Crime Drama","March, 2017","Day","HEAR A BTR DAY 120",17,53,89690,0.000352941176470588,37.835,0.00018954175493366
"60","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",21,59,80029,0.000142857142857143,30.6283333333333,0.000262404878231641
"61","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",17,58,77980,0.000235294117647059,37.835,0.000218004616568351
"62","DN","Crime Drama","June, 2017","Day","HEAR A BTR DAY 120",10,66,99306,0.0001,64.3195,0.000100698850019133
"63","DN","Crime Drama","June, 2017","Day","HABD REV 120 TEST",22,75,114831,0.0000454545454545455,29.2361363636364,0.00019158589579469
"68","CBL","Lifestyle","April, 2017","Day","HEAR A BTR DAY 120",26,65,84257,0.0000769230769230769,26.5052884615385,0.000308579702576641
"69","CBL","Lifestyle","July, 2017","Day","HABD REV 120 TEST",28,70,115544,0.00025,24.6120535714286,0.000242331925500242
"70","DN","Court","December, 2016","Day","HEAR A BTR DAY 120",41,90,138867,0.0000975609756097561,13.4465853658537,0.000295246530853262
"71","DN","Court","December, 2016","Day","HEAR A BTR DAY 120",32,58,91121,0.00009375,17.2284375,0.000351181396165538
"72","DN","Court","January, 2017","Day","HEAR A BTR DAY 120",42,86,106123,0.0000238095238095238,15.3141666666667,0.000395767175824279
